epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,36,,,3.294872522354126,3.294872522354126
0,36,,8.167635917663574,,
1,49,3.5454769134521484,,,
1,73,,,3.238175868988037,3.238175868988037
1,73,,3.3251798152923584,,
2,99,2.9616541862487793,,,
2,110,,,3.250389575958252,3.250389575958252
2,110,,3.3154242038726807,,
3,147,,,3.2527151107788086,3.2527151107788086
3,147,,3.3104116916656494,,
4,149,2.879767656326294,,,
